CC line,Mouse ID,,JOINTS,,,,,
,,box,Case#,Adapted overall score (including all criteria),Synovial hyperplasia,Exudate within joint and/or tendon sheath,Superficial inflammation of bone,Overall inflammation (whole tissue)
,,,,,,,,
CC001,001-223MI,joints 1,2,2,2,3,1,2
,001-216MI,joints 1,4,1.25,2,1,1,1
,001-208FI,joints 2,202,3.5,4,3,4,3
,001-221FI ,joints 2,204,2.75,3,1,4,3
,Average,,,2.375,2.75,2,2.5,2.25
,001-213MC,joints 1,6,0,0,0,0,0
,001-202FC ,joints 2,206,1,2,0,1,1
,Average,,,0.5,1,0,0.5,0.5
,,,,1.875,1.75,2,2,1.75
,,,,,,,,
CC002,002-533MI,joints 1,8,1,2,1,0,1
,002-460MI,joints 1,10,0.25,1,0,0,0
,002-415FI,joints 2,208,0.75,1,0,1,1
,002-447FI,joints 2,210,1,2,0,1,1
,Average,,,0.75,1.5,0.25,0.5,0.75
,002-450MC,joints 1,12,0.5,1,0,0,1
,002-443FC,joints 2,212,0.75,1,0,1,1
,Average,,,0.625,1,0,0.5,1
,,,,0.125,0.5,0.25,0,0
,,,,,,,,
CC003,003-101MI,joints 1,14,1,2,0,1,1
,003-95MI,joints 1,16,2,2,3,1,2
,003-92FI ,joints 2,214,1.5,2,0,2,2
,003-97FI,joints 2,216,0.75,0,0,2,1
,Average,,,1.3125,1.5,0.75,1.5,1.5
,003-88MC,joints 1,18,0.5,1,0,0,1
,003-91FC ,joints 2,218,0.75,2,0,1,0
,Average,,,0.625,1.5,0,0.5,0.5
,,,,0.6875,0,0.75,1,1
,,,,,,,,
CC005,005-224MI,joints 1,20,1.75,3,2,1,1
,005-225MI,joints 1,22,2.25,3,3,1,2
,005-236FI,joints 2,220,3,3,4,3,2
,005-237FI,joints 2,222,3.5,3,4,4,3
,Average,,,2.625,3,3.25,2.25,2
,005-226MC ,joints 1,24,0.25,1,0,0,0
,005-241FC,joints 2,224,1,2,0,1,1
,Average,,,0.625,1.5,0,0.5,0.5
,,,,2,1.5,3.25,1.75,1.5
,,,,,,,,
CC006,006-271MI ,joints 1,26,0.25,1,0,0,0
,006-188MI,joints 1,28,0.75,2,0,1,0
,006-190FI,joints 2,226,1.5,2,1,2,1
,006-191FI,joints 2,228,1.25,2,0,1,2
,Average,,,0.9375,1.75,0.25,1,0.75
,006-240MC ,joints 1,32,0.5,1,0,0,1
,006-195FC,joints 2,230,0.75,1,0,1,1
,Average,,,0.625,1,0,0.5,1
,,,,0.3125,0.75,0.25,0.5,0
,,,,,,,,
CC011,011-439MI ,joints 1,34,2,2,1,3,2
,011-440MI ,joints 1,36,0.5,1,0,0,1
,011-448FI,joints 2,232,1.75,2,0,3,2
,011-458FI ,joints 2,234,3.25,3,4,3,3
,Average,,,1.875,2,1.25,2.25,2
,011-438MC,joints 1,38,0,0,0,0,0
,011-514FC,joints 2,238,0.75,1,0,1,1
,Average,,,0.375,0.5,0,0.5,0.5
,,,,1.5,1.5,1.25,1.75,1.5
,,,,,,,,
CC012,012-901MI ,joints 1,40,0,0,0,0,0
,012-902MI,joints 1,42,0.5,1,0,0,1
,012-1049FI,joints 2,240,0.75,1,0,1,1
,012-936FI,joints 2,242,2.5,3,2,2,3
,Average,,,0.9375,1.25,0.5,0.75,1.25
,012-903MC,joints 1,44,0,0,0,0,0
,012-938FC ,joints 2,244,1.25,2,1,1,1
,Average,,,0.625,1,0.5,0.5,0.5
,,,,0.3125,0.25,0,0.25,0.75
,,,,,,,,
CC013,013-497MI ,joints 1,46,1,2,0,1,1
,013-499MI,joints 1,48,2,3,1,3,1
,013-576FI,joints 2,246,2.75,4,1,3,3
,013-514FI ,joints 2,248,1.5,2,0,2,2
,Average,,,1.8125,2.75,0.5,2.25,1.75
,013-582MC,joints 1,52,0.75,1,0,1,1
,013-571FC,joints 2,250,1.25,2,0,1,2
,Average,,,1,1.5,0,1,1.5
,,,,0.8125,1.25,0.5,1.25,0.25
,,,,,,,,
CC015,015-294MI,joints 1,54,1.25,2,0,1,2
,015-299MI,joints 1,56,1.75,2,2,2,1
,015-281FI,joints 2,252,2,3,1,2,2
,015-283FI ,joints 2,254,2.25,3,0,3,3
,Average,,,1.8125,2.5,0.75,2,2
,015-311MC ,joints 1,58,1.25,1,2,1,1
,015-289FC,joints 2,256,1.75,2,0,2,3
,Average,,,1.5,1.5,1,1.5,2
,,,,0.3125,1,0,0.5,0
,,,,,,,,
CC017,017-251MI,joints 1,60,1.25,2,1,1,1
,017-257MI ,joints 1,62,1,2,0,1,1
,017-248FI ,joints 2,258,0.5,1,0,0,1
,017-253FI,joints 2,260,0.75,1,0,1,1
,Average,,,0.875,1.5,0.25,0.75,1
,017-243MC,joints 1,64,0.75,1,0,1,1
,017-249FC,joints 2,262,1,2,0,1,1
,Average,,,0.875,1.5,0,1,1
