CC line,MOUSE ID,BOX,,ALL ORGANS,HEART,,KIDNEYS,,URINARY BLADDER,,comments
,,,Case#,overall score (all organs),inflammation ,,inflammation,,inflammation,lymphoid hyperplasia,
,,,,,,,,,,,
CC001,001-223MI,"heart, bladder kidneys, box 1",1,1.25,3,,1,,1,0,
,001-216MI,"heart, bladder kidneys, box 1",3,1.5,4,vasculitis,1,,0,1,
,001-208FI,"heart, bladder kidneys, box 2",201,1,4,many plasma cells around a vessel; vasculitis,0,,0,0,
,001-221FI ,"heart, bladder kidneys, box 1",203,1.5,0,,2,,2,2,
,Average,,,1.3125,2.75,,1,,0.75,0.75,
,001-213MC,"heart, bladder kidneys, box 1",5,0.25,0,,1,,0,0,
,001-202FC ,"heart, bladder kidneys, box 2",205,0.25,0,,1,,0,0,
,Average,,,0.25,0,,1,,0,0,
,,,,,2.75,,0,,0.75,,
,,,,,,,,,,,
,,,,,,,,,,,
,002-533MI,"heart, bladder kidneys, box 1",7,2,2,,1,,3,2,lymphocytes and neutrophils
CC002,002-460MI,"heart, bladder kidneys, box 1",9,0.75,2,,1,,0,0,
,002-415FI,"heart, bladder kidneys, box 1",207,0.5,2,,0,,0,0,
,002-447FI,"heart, bladder kidneys, box 2",209,0.5,1,,1,,0,0,
,Average,,,0.9375,1.75,,0.75,,0.75,0.5,
,002-450MC,"heart, bladder kidneys, box 1",11,0,0,,0,,0,0,
,002-443FC,"heart, bladder kidneys, box 1",211,0,0,,0,,0,0,
,Average,,,0,0,,0,,0,0,
,,,,,1.75,,0.75,,0.75,,
,,,,,,,,,,,
,,,,,,,,,,,
CC003,003-101MI,"heart, bladder kidneys, box 1",13,0.25,1,,0,,0,0,
,003-95MI,"heart, bladder kidneys, box 1",15,0.25,0,,1,,0,0,
,003-92FI ,"heart, bladder kidneys, box 2",213,1.25,1,,1,,1,2,
,003-97FI,"heart, bladder kidneys, box 1",215,0.75,1,,2,,0,0,no urinary bladder
,Average,,,0.625,0.75,,1,,0.25,0.5,
,003-88MC,"heart, bladder kidneys, box 1",17,0.5,0,,1,,1,0,
