"","cc_id","gender","groupind","strainind","Adapted overall score (including all criteria)","Synovial hyperplasia","Exudate within joint and/or tendon sheath","Superficial inflammation of bone","Overall inflammation (whole tissue)"
"3","001","M",1,NA,2,2,3,1,2
"4","001","M",1,NA,1.25,2,1,1,1
"5","001","F",1,NA,3.5,4,3,4,3
"6","001","F",1,NA,2.75,3,1,4,3
"8","001","M",0,NA,0,0,0,0,0
"9","001","F",0,NA,1,2,0,1,1
"13","002","M",1,NA,1,2,1,0,1
"14","002","M",1,NA,0.25,1,0,0,0
"15","002","F",1,NA,0.75,1,0,1,1
"16","002","F",1,NA,1,2,0,1,1
"18","002","M",0,NA,0.5,1,0,0,1
"19","002","F",0,NA,0.75,1,0,1,1
"23","003","M",1,NA,1,2,0,1,1
"24","003","M",1,NA,2,2,3,1,2
"25","003","F",1,NA,1.5,2,0,2,2
"26","003","F",1,NA,0.75,0,0,2,1
"28","003","M",0,NA,0.5,1,0,0,1
"29","003","F",0,NA,0.75,2,0,1,0
"33","005","M",1,NA,1.75,3,2,1,1
"34","005","M",1,NA,2.25,3,3,1,2
"35","005","F",1,NA,3,3,4,3,2
"36","005","F",1,NA,3.5,3,4,4,3
"38","005","M",0,NA,0.25,1,0,0,0
"39","005","F",0,NA,1,2,0,1,1
"43","006","M",1,NA,0.25,1,0,0,0
"44","006","M",1,NA,0.75,2,0,1,0
"45","006","F",1,NA,1.5,2,1,2,1
"46","006","F",1,NA,1.25,2,0,1,2
"48","006","M",0,NA,0.5,1,0,0,1
"49","006","F",0,NA,0.75,1,0,1,1
"53","011","M",1,NA,2,2,1,3,2
"54","011","M",1,NA,0.5,1,0,0,1
"55","011","F",1,NA,1.75,2,0,3,2
"56","011","F",1,NA,3.25,3,4,3,3
"58","011","M",0,NA,0,0,0,0,0
"59","011","F",0,NA,0.75,1,0,1,1
"63","012","M",1,NA,0,0,0,0,0
"64","012","M",1,NA,0.5,1,0,0,1
"65","012","F",1,NA,0.75,1,0,1,1
"66","012","F",1,NA,2.5,3,2,2,3
"68","012","M",0,NA,0,0,0,0,0
"69","012","F",0,NA,1.25,2,1,1,1
"73","013","M",1,NA,1,2,0,1,1
"74","013","M",1,NA,2,3,1,3,1
"75","013","F",1,NA,2.75,4,1,3,3
"76","013","F",1,NA,1.5,2,0,2,2
"78","013","M",0,NA,0.75,1,0,1,1
"79","013","F",0,NA,1.25,2,0,1,2
"83","015","M",1,NA,1.25,2,0,1,2
"84","015","M",1,NA,1.75,2,2,2,1
"85","015","F",1,NA,2,3,1,2,2
"86","015","F",1,NA,2.25,3,0,3,3
"88","015","M",0,NA,1.25,1,2,1,1
"89","015","F",0,NA,1.75,2,0,2,3
"93","017","M",1,NA,1.25,2,1,1,1
"94","017","M",1,NA,1,2,0,1,1
"95","017","F",1,NA,0.5,1,0,0,1
"96","017","F",1,NA,0.75,1,0,1,1
"98","017","M",0,NA,0.75,1,0,1,1
"99","017","F",0,NA,1,2,0,1,1
"103","019","M",1,NA,0.5,1,0,0,1
"104","019","M",1,NA,0.5,1,0,0,1
"105","019","F",1,NA,1.25,2,0,1,2
"106","019","F",1,NA,1.5,2,0,2,2
"108","019","M",0,NA,0.5,1,0,0,1
"109","019","F",0,NA,0.5,1,0,0,1
"113","023","M",1,NA,0.75,2,0,1,0
"114","023","M",1,NA,1,2,0,1,1
